pick_date,ticker,direction,score,entry_close,exit_date,exit_close,return_pct,spy_return_pct,beat_spy,no_call
2026-08-13,SPCX,LONG,40,141.29,2026-08-20,134.0,-5.16,-1.94,False,False
2026-08-14,AKAN,LONG,68,6.45,2026-08-21,3.86,-40.16,-1.38,False,False
2026-08-14,CAPR,WATCH,58,6.65,2026-08-21,6.29,-5.41,-1.38,,True
2026-08-14,CYCU,WATCH,19,0.685,2026-08-21,0.6539,-4.54,-1.38,,True
2026-08-14,DRAM,WATCH,20,57.32,2026-08-21,57.71,0.68,-1.38,,True
2026-08-14,NU,WATCH,15,15.23,2026-08-21,14.58,-4.27,-1.38,,True
2026-08-14,ONDS,LONG,50,9.24,2026-08-21,8.71,-5.74,-1.38,False,False
2026-08-14,SNDQ,WATCH,32,14.84,2026-08-21,14.88,0.27,-1.37,,True
2026-08-14,SNXX,WATCH,41,16.19,2026-08-21,15.005,-7.32,-1.38,,True
2026-08-14,SURG,LONG,30,0.282,2026-08-21,0.1705,-39.54,-1.38,False,False
2026-08-14,WETO,WATCH,15,8.22,2026-08-21,26.01,216.42,-1.38,,True
2026-08-17,HIVE,LONG,30,3.07,2026-08-24,2.86,-6.84,-1.18,False,False
2026-08-17,IPST,WATCH,15,7.39,2026-08-24,8.58,16.1,-1.18,,True
2026-08-17,IVF,WATCH,15,1.53,2026-08-24,1.03,-32.68,-1.18,,True
2026-08-17,NOK,LONG,30,10.78,2026-08-24,9.955,-7.65,-1.18,False,False
2026-08-17,OABI,LONG,30,3.82,2026-08-24,4.71,23.3,-1.18,True,False
2026-08-17,RIVN,WATCH,15,14.87,2026-08-24,16.6,11.63,-1.18,,True
2026-08-17,SNAP,SHORT,43,5.18,2026-08-24,5.53,-6.76,-1.18,False,False
2026-08-17,SNXX,WATCH,53,19.06,2026-08-24,13.025,-31.66,-1.18,,True
2026-08-17,TRUG,WATCH,20,1.54,2026-08-24,0.6498,-57.81,-1.18,,True
2026-08-17,UCL,WATCH,20,0.68,2026-08-24,0.369,-45.74,-1.18,,True
2026-08-18,AMLX,WATCH,59,35.11,2026-08-25,37.46,6.69,-0.21,,True
2026-08-18,DRAM,LONG,63,55.1,2026-08-25,56.2,2.0,-0.21,True,False
2026-08-18,DT,LONG,54,49.26,2026-08-25,50.06,1.62,-0.21,True,False
2026-08-18,KLAR,WATCH,61,15.06,2026-08-25,14.245,-5.41,-0.21,,True
2026-08-18,NOK,LONG,76,10.39,2026-08-25,10.34,-0.48,-0.21,False,False
2026-08-18,SGLY,LONG,55,3.49,2026-08-25,2.15,-38.4,-0.21,False,False
2026-08-18,SLE,LONG,61,5.5,2026-08-25,3.96,-28.0,-0.21,False,False
2026-08-18,SNXX,WATCH,59,15.66,2026-08-25,12.835,-18.04,-0.21,,True
2026-08-18,TRUG,LONG,72,1.09,2026-08-25,0.585,-46.33,-0.21,False,False
2026-08-18,XOS,LONG,76,4.44,2026-08-25,3.52,-20.72,-0.21,False,False
2026-08-19,FEMY,LONG,55,2.71,2026-08-26,2.92,7.75,-0.4,True,False
2026-08-19,KORU,LONG,35,19.11,2026-08-26,20.47,7.12,-0.4,True,False
2026-08-19,MRNA,WATCH,65,174.38,2026-08-26,149.66,-14.18,-0.4,,True
